서울,부산,대구,인천,광주,대전,울산,경기,강원,충북,충남,전북,전남,경북,경남,제주,세종
2969184.0,1175205.0,1010065.0,1049444.0,550821.0,594786.0,470410.0,4402396.0,630860.0,653610.0,855931.0,755456.0,766704.0,1172860.0,1470733.0,294488.0,47580.0
2973804.0,1179301.0,1013157.0,1057205.0,553428.0,596532.0,473018.0,4420350.0,632672.0,656427.0,859482.0,758453.0,770345.0,1178103.0,1474403.0,298472.0,48316.0
2973781.0,1180723.0,1014528.0,1062127.0,554748.0,597593.0,474159.0,4428850.0,633452.0,657736.0,861934.0,759739.0,772471.0,1180862.0,1475433.0,301744.0,48986.0
2973218.0,1181556.0,1016803.0,1068044.0,556356.0,598727.0,475904.0,4438193.0,635081.0,659386.0,864865.0,761198.0,775765.0,1184543.0,1476200.0,305467.0,49563.0
2973735.0,1182472.0,1019496.0,1076638.0,558003.0,599639.0,476975.0,4448288.0,636701.0,661504.0,868325.0,763401.0,778989.0,1188580.0,1477864.0,309466.0,50000.0
2975744.0,1182081.0,1023376.0,1083230.0,559364.0,600745.0,477946.0,4457536.0,638285.0,663338.0,870888.0,765049.0,782152.0,1191658.0,1479566.0,313034.0,50400.0
2976043.0,1183223.0,1025408.0,1090648.0,560903.0,601518.0,479305.0,4468494.0,639688.0,665319.0,873813.0,767581.0,785407.0,1194931.0,1480939.0,316441.0,50676.0
2979258.0,1185549.0,1028439.0,1100216.0,562691.0,602791.0,480945.0,4483484.0,641748.0,667784.0,876542.0,770152.0,788377.0,1198763.0,1483383.0,321515.0,50952.0
2977324.0,1185367.0,1030265.0,1108757.0,563761.0,603613.0,482067.0,4491882.0,642846.0,669296.0,878772.0,771641.0,790363.0,1201316.0,1486504.0,324275.0,51245.0
2978495.0,1186300.0,1032590.0,1115419.0,564825.0,604152.0,482846.0,4499540.0,644090.0,670547.0,880887.0,773127.0,792379.0,1203901.0,1487319.0,326012.0,51498.0
2979834.0,1186967.0,1035397.0,1124770.0,566547.0,605272.0,484016.0,4511082.0,645595.0,672309.0,884371.0,774706.0,795033.0,1206954.0,1489200.0,328933.0,51854.0
2978969.0,1183775.0,1038204.0,1134565.0,567699.0,605956.0,485346.0,4521388.0,647113.0,673876.0,886653.0,780688.0,797935.0,1209957.0,1491071.0,331863.0,52135.0
2973877.0,1183679.0,1039225.0,1142351.0,568054.0,606283.0,485184.0,4525170.0,646532.0,674138.0,887190.0,780844.0,799385.0,1210986.0,1490651.0,334426.0,52889.0
2981263.0,1188369.0,1044199.0,1152151.0,570306.0,608924.0,488193.0,4547955.0,648816.0,677138.0,891807.0,784102.0,804328.0,1216330.0,1495458.0,338928.0,53919.0
2982658.0,1190499.0,1045966.0,1158949.0,571894.0,609775.0,489580.0,4557909.0,649948.0,678799.0,894883.0,786029.0,807115.0,1219718.0,1496447.0,342808.0,54808.0
2983448.0,1192662.0,1049019.0,1170010.0,572907.0,611087.0,491012.0,4570775.0,651962.0,681049.0,898671.0,788394.0,811435.0,1223633.0,1497934.0,346931.0,55392.0
2987197.0,1194778.0,1052424.0,1180179.0,574463.0,612675.0,492512.0,4585245.0,653995.0,683864.0,902119.0,791165.0,816248.0,1228032.0,1499291.0,352717.0,56146.0
2990011.0,1196452.0,1054989.0,1188651.0,576828.0,613869.0,494244.0,4599329.0,655785.0,685692.0,905454.0,793231.0,819025.0,1231435.0,1501499.0,356261.0,56961.0
2994260.0,1200981.0,1057448.0,1198043.0,578917.0,614921.0,495848.0,4614442.0,657458.0,688089.0,908290.0,794643.0,821352.0,1234705.0,1499648.0,362963.0,57574.0
2999673.0,1203312.0,1060776.0,1209648.0,581483.0,616444.0,497455.0,4630536.0,659686.0,690682.0,911243.0,797508.0,824965.0,1238444.0,1501558.0,369316.0,58202.0
3003300.0,1205071.0,1062717.0,1217170.0,583072.0,617453.0,498415.0,4642082.0,661087.0,692400.0,913675.0,799477.0,827084.0,1241877.0,1502755.0,372308.0,59311.0
3006781.0,1206869.0,1062550.0,1224539.0,584998.0,618480.0,499550.0,4654867.0,662881.0,694648.0,916703.0,801449.0,829476.0,1247893.0,1504212.0,375194.0,60720.0
3008363.0,1212234.0,1066214.0,1232601.0,586612.0,619604.0,501130.0,4667049.0,664695.0,696813.0,919778.0,803618.0,833027.0,1249860.0,1505658.0,377894.0,62611.0
3012795.0,1213882.0,1069568.0,1240422.0,588724.0,620662.0,503499.0,4682952.0,666432.0,698678.0,922856.0,805938.0,837173.0,1253317.0,1509152.0,381214.0,65156.0
3013541.0,1214175.0,1072305.0,1247485.0,589334.0,621035.0,504604.0,4694527.0,667144.0,699797.0,924651.0,807368.0,841881.0,1255903.0,1512207.0,384117.0,67881.0
3021688.0,1219593.0,1076512.0,1257579.0,592020.0,622705.0,507680.0,4718990.0,670144.0,702952.0,929725.0,810851.0,847637.0,1261405.0,1518723.0,388996.0,70603.0
3023786.0,1222589.0,1079920.0,1264187.0,593456.0,623128.0,508749.0,4733643.0,671684.0,704923.0,932888.0,813017.0,851462.0,1265165.0,1522020.0,392466.0,73393.0
3024391.0,1224381.0,1082918.0,1270397.0,595373.0,623330.0,510573.0,4748569.0,673881.0,707631.0,936759.0,816475.0,855846.0,1269424.0,1524961.0,398515.0,76026.0
3026957.0,1227357.0,1086665.0,1277867.0,597728.0,624549.0,512537.0,4765646.0,676713.0,710527.0,940571.0,819304.0,861112.0,1273227.0,1530433.0,402936.0,77767.0
3030052.0,1230897.0,1087466.0,1286712.0,599458.0,624925.0,513801.0,4781194.0,679032.0,712730.0,943915.0,821543.0,865105.0,1276940.0,1534081.0,406729.0,79604.0
3031607.0,1235695.0,1090566.0,1299035.0,601616.0,626472.0,515210.0,4798729.0,681453.0,716042.0,947666.0,823957.0,869432.0,1281444.0,1538501.0,410468.0,80986.0
3035979.0,1239802.0,1093000.0,1309894.0,603580.0,627486.0,517019.0,4815936.0,684013.0,718337.0,951313.0,826391.0,874782.0,1286015.0,1540692.0,417703.0,82990.0
3037031.0,1241724.0,1094000.0,1317376.0,604551.0,627913.0,518019.0,4830126.0,685551.0,720134.0,954407.0,828406.0,878569.0,1289294.0,1544723.0,421087.0,84940.0
3043191.0,1245535.0,1097823.0,1327383.0,606621.0,629445.0,519681.0,4852002.0,688580.0,722885.0,958573.0,831345.0,883753.0,1293925.0,1549727.0,425425.0,86982.0
3046176.0,1248943.0,1100261.0,1336351.0,607502.0,630195.0,522108.0,4871519.0,690821.0,725266.0,962340.0,833861.0,888189.0,1298451.0,1554251.0,428967.0,89180.0
3052968.0,1253114.0,1103391.0,1347339.0,610423.0,631854.0,524123.0,4895325.0,693066.0,727911.0,966432.0,837133.0,892930.0,1303544.0,1559565.0,432074.0,90962.0
3056588.0,1255722.0,1106002.0,1355207.0,611280.0,632954.0,525092.0,4917091.0,694040.0,730069.0,969224.0,839181.0,897655.0,1307495.0,1564192.0,435015.0,93078.0
3063247.0,1259512.0,1108455.0,1364501.0,613552.0,634465.0,527449.0,4943882.0,697251.0,733365.0,973973.0,842587.0,903736.0,1313678.0,1571964.0,438283.0,95378.0
3063683.0,1262050.0,1109004.0,1366205.0,614605.0,634926.0,528605.0,4956698.0,699210.0,735370.0,977803.0,844611.0,907373.0,1317593.0,1581662.0,440384.0,97328.0
3066050.0,1269965.0,1111860.0,1371956.0,616656.0,636387.0,530037.0,4977373.0,702114.0,738756.0,982395.0,847712.0,912421.0,1323260.0,1588007.0,443346.0,99244.0
3069594.0,1273105.0,1114718.0,1381159.0,617529.0,637952.0,531375.0,4997475.0,704854.0,741561.0,986786.0,850427.0,917386.0,1328010.0,1593175.0,446897.0,100519.0
3073263.0,1276419.0,1116622.0,1391287.0,619195.0,639606.0,532802.0,5018564.0,707570.0,744325.0,991360.0,853404.0,921782.0,1332616.0,1598186.0,449682.0,101815.0
3079041.0,1281346.0,1121285.0,1402056.0,621683.0,641846.0,534522.0,5044960.0,710637.0,747677.0,995954.0,856618.0,928583.0,1337672.0,1603242.0,453778.0,103324.0
3079928.0,1285658.0,1121928.0,1404598.0,628249.0,643298.0,535697.0,5064874.0,713078.0,750481.0,999500.0,859442.0,931869.0,1341337.0,1609382.0,457330.0,104471.0
